电影中文名,电影外文名,导演中文名,导演外文名,主演中文名,主演外文名,评分,评分人数,简介,上映年份,国家,电影类型
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,马克·赫尔曼,Mark Herman,阿萨·巴特菲尔德,,9.2,597083,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008,英国 美国,剧情 战争
窃听风暴,Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔克,Florian Henckel von Donnersmarck,,,9.2,591906,别样人生。,2006,德国,剧情 悬疑
情书,Love Letter,岩井俊二,Shunji Iwai,中山美穗,,8.9,1181539,暗恋的极致。,1995,日本,剧情 爱情
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",盖·里奇,Guy Ritchie,杰森·弗莱明,,9.1,625850,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998,英国,剧情 喜剧 犯罪
西西里的美丽传说,Malèna,朱塞佩·托纳多雷,Giuseppe Tornatore,莫妮卡·贝鲁奇,,8.9,1023245,美丽无罪。,2000,意大利 美国,剧情 战争 情色
音乐之声,The Sound of Music,罗伯特·怀斯,Robert Wise,朱莉·安德鲁斯,,9.1,633834,用音乐化解仇恨，让歌声串起美好。,1965,美国,剧情 传记 爱情 歌舞
看不见的客人,Contratiempo,奥里奥尔·保罗,Oriol Paulo,马里奥·卡萨斯,,8.8,1338861,你以为你以为的就是你以为的。,2016,西班牙,剧情 犯罪 悬疑 惊悚
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,大卫·叶茨,David Yates,丹尼尔·雷德克里夫,,9.0,879595,10年的完美句点。,2011,美国 英国,奇幻 冒险
阿凡达,Avatar,詹姆斯·卡梅隆,James Cameron,萨姆·沃辛顿,,8.8,1481234,绝对意义上的美轮美奂。,2009,美国,动作 科幻 冒险
拯救大兵瑞恩,Saving Private Ryan,史蒂文·斯皮尔伯格,Steven Spielberg,汤姆·汉克斯,,9.1,677670,美利坚精神输出大片No1.,1998,美国,剧情 战争
小鞋子,بچه های آسمان,马基德·马基迪,Majid Majidi,默罕默德·阿米尔·纳吉,,9.2,431382,奔跑的孩子是天使。,1997,伊朗,剧情 儿童 家庭
飞越疯人院,One Flew Over the Cuckoo's Nest,米洛斯·福尔曼,Milo,杰克·尼科尔森,,9.1,570036,自由万岁。,1975,美国,剧情
功夫,功夫3D,周星驰,Stephen Chow,周星驰,,8.8,1211408,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
沉默的羔羊,The Silence of the Lambs,乔纳森·戴米,Jonathan Demme,朱迪·福斯特,,8.9,939375,安东尼·霍普金斯的顶级表演。,1991,美国,剧情 犯罪 惊悚
布达佩斯大饭店,The Grand Budapest Hotel,韦斯·安德森,Wes Anderson,拉尔夫·费因斯,,8.9,997488,小清新的故事里注入了大历史的情怀。,2014,美国 德国 英国,剧情 喜剧 冒险
禁闭岛,Shutter Island,,Martin Scorsese,莱昂纳多·迪卡普里奥,,8.9,1031129,昔日翩翩少年，今日大腹便便。,2010,美国,剧情 悬疑 惊悚
蝴蝶效应,The Butterfly Effect,埃里克·布雷斯,Eric Bress,,,8.9,986660,人的命运被自己瞬间的抉择改变。,2004,美国 加拿大,剧情 悬疑 科幻 惊悚
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,,Alfonso Cuar,丹尼尔·雷德克里夫,,9.0,783705,不一样的导演，不一样的哈利·波特。,2004,英国 美国,奇幻 冒险
致命魔术,The Prestige,克里斯托弗·诺兰,Christopher Nolan,休·杰克曼,,8.9,901959,孪生蝙蝠侠大战克隆金刚狼。,2006,英国 美国,剧情 悬疑 惊悚
心灵捕手,Good Will Hunting,格斯·范·桑特,Gus Van Sant,马特·达蒙,,9.0,757336,人生中应该拥有这样的一段豁然开朗。,1997,美国,剧情
超脱,Detachment,托尼·凯耶,Tony Kaye,艾德里安·布洛迪,,9.0,651808,穷尽一生，我们要学会的，不过是彼此拥抱。,2011,美国,剧情
低俗小说,Pulp Fiction,昆汀·塔伦蒂诺,Quentin Tarantino,约翰·特拉沃尔塔,,8.9,882465,故事的高级讲法。,1994,美国,剧情 喜剧 犯罪
摩登时代,Modern Times,查理·卓别林,Charles Chaplin,查理·卓别林,,9.3,319064,大时代中的人生，小人物的悲喜。,1936,美国,剧情 喜剧 爱情
春光乍泄,春光乍洩,王家卫,Kar Wai Wong,张国荣,,9.0,663754,爱情纠缠，男女一致。,1997,中国香港 日本 韩国,剧情 爱情 同性
海豚湾,The Cove,路易·西霍尤斯,Louie Psihoyos,路易·西霍尤斯,,9.3,367542,海豚的微笑，是世界上最高明的伪装。,2009,美国,纪录片
喜剧之王,喜劇之王,周星驰,Stephen Chow,周星驰,,8.8,1016023,我是一个演员。,1999,中国香港,喜剧 剧情 爱情
美国往事,Once Upon a Time in America,赛尔乔·莱翁内,Sergio Leone,罗伯特·德尼罗,,9.2,436095,往事如烟，无处祭奠。,1984,美国 意大利,犯罪 剧情
致命ID,Identity,詹姆斯·曼高德,James Mangold,约翰·库萨克,,8.9,872855,最不可能的那个人永远是最可能的。,2003,美国,剧情 悬疑 惊悚
杀人回忆,살인의 추억,奉俊昊,Joon,宋康昊,,8.9,762955,关于连环杀人悬案的集体回忆。,2003,韩国,剧情 动作 犯罪 悬疑 惊悚
哈利·波特与密室,Harry Potter and the Chamber of Secrets,,Chris Columbus,丹尼尔·雷德克里夫,,8.9,810945,魔法的密室之门已打开...,2002,英国 美国,奇幻 冒险
红辣椒,パプリカ,今敏,Satoshi Kon,林原惠美,,9.1,506227,梦的勾结。,2006,日本,动画 悬疑 科幻 惊悚
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl,戈尔·维宾斯基,Gore Verbinski,约翰尼·德普,,8.8,902147,约翰尼·德普的独角戏。,2003,美国,动作 冒险 奇幻
七宗罪,Se7en,大卫·芬奇,David Fincher,摩根·弗里曼,,8.8,983308,警察抓小偷，老鼠玩死猫。,1995,美国,剧情 犯罪 悬疑 惊悚
一一,Yi yi,杨德昌,Edward Yang,吴念真,,9.1,432134,我们都曾经是一一。,2000,中国台湾 日本,剧情 爱情 家庭
狩猎,Jagten,托马斯·温特伯格,Thomas Vinterberg,麦斯·米科尔森,,9.1,420108,人言可畏。,2012,丹麦 瑞典,剧情
唐伯虎点秋香,唐伯虎點秋香,李力持,Lik,周星驰,,8.7,1135743,华太师是黄霑，吴镇宇四大才子之一。,1993,中国香港,喜剧 爱情 古装
7号房的礼物,7번방의 선물,李焕庆,Hwan,柳承龙,,8.9,583282,《我是山姆》的《美丽人生》。,2013,韩国,剧情 喜剧 家庭
被嫌弃的松子的一生,嫌われ松子の一生,中岛哲也,Tetsuya Nakashima,中谷美纪,,8.8,732507,以戏谑来戏谑戏谑。,2006,日本,剧情 歌舞
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,克里斯托弗·诺兰,Christopher Nolan,克里斯蒂安·贝尔,,8.9,759162,诺兰就是保证。,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
甜蜜蜜,Comrades: Almost a Love Story,陈可辛,Peter Chan,黎明,,8.9,602772,相逢只要一瞬间，等待却像是一辈子。,1996,中国香港,剧情 爱情
